iter	Passed	Remaining
0	0	971
1	1	850
2	2	815
3	3	777
4	3	751
5	4	734
6	5	722
7	5	714
8	6	709
9	7	708
10	7	704
11	8	699
12	9	697
13	9	694
14	10	690
15	11	686
16	11	685
17	12	683
18	13	681
19	13	678
20	14	676
21	15	674
22	15	672
23	16	671
24	17	669
25	17	668
26	18	666
27	19	665
28	19	664
29	20	663
30	21	664
31	21	665
32	22	666
33	23	665
34	24	665
35	24	664
36	25	663
37	26	661
38	26	660
39	27	658
40	28	657
41	28	656
42	29	655
43	30	654
44	30	653
45	31	651
46	32	650
47	32	648
48	33	647
49	34	647
50	34	646
51	35	645
52	36	646
53	36	645
54	37	645
55	38	646
56	39	649
57	39	649
58	40	649
59	41	648
60	42	647
61	42	646
62	43	645
63	44	644
64	44	643
65	45	642
66	46	641
67	46	640
68	47	639
69	48	638
70	48	637
71	49	636
72	50	635
73	50	634
74	51	633
75	52	633
76	52	633
77	53	632
78	54	631
79	54	630
80	55	629
81	56	628
82	56	627
83	57	626
84	58	625
85	58	624
86	59	623
87	60	621
88	60	620
89	61	620
90	61	619
91	62	618
92	63	617
93	63	616
94	64	615
95	65	614
96	66	615
97	66	614
98	67	615
99	68	614
100	68	613
101	69	612
102	70	611
103	70	610
104	71	610
105	72	609
106	72	608
107	73	607
108	74	606
109	74	605
110	75	604
111	76	603
112	76	602
113	77	601
114	78	600
115	78	599
116	79	598
117	79	597
118	80	597
119	81	596
120	82	597
121	82	596
122	83	595
123	84	593
124	84	592
125	85	591
126	85	590
127	86	589
128	87	587
129	87	586
130	88	585
131	88	584
132	89	583
133	90	581
134	90	580
135	91	579
136	91	578
137	92	576
138	92	575
139	93	574
140	94	573
141	94	570
142	94	569
143	95	568
144	96	568
145	97	568
146	97	567
147	98	567
148	99	566
149	99	565
150	100	564
151	100	563
152	101	562
153	101	560
154	102	559
155	102	556
156	103	555
157	104	554
158	104	553
159	105	552
160	105	551
161	106	550
162	106	549
163	107	548
164	108	547
165	108	546
166	109	544
167	109	543
168	110	542
169	110	541
170	111	541
171	112	541
172	113	540
173	113	540
174	114	539
175	115	538
176	115	537
177	115	535
178	116	532
179	116	532
180	117	531
181	117	528
182	117	526
183	118	524
184	118	523
185	119	522
186	119	520
187	120	518
188	120	516
189	121	516
190	121	515
191	122	514
192	122	513
193	123	512
194	123	511
195	124	511
196	125	510
197	126	513
198	127	512
199	128	512
200	128	510
201	128	508
202	129	507
203	129	505
204	129	503
205	130	502
206	130	501
207	131	499
208	131	498
209	132	497
210	132	495
211	132	494
212	133	492
213	133	491
214	134	489
215	134	487
216	134	485
217	134	483
218	135	483
219	135	481
220	136	479
221	136	478
222	136	476
223	136	474
224	137	472
225	137	470
226	138	470
227	138	469
228	138	467
229	139	465
230	139	464
231	139	462
232	140	462
233	141	461
234	141	461
235	142	461
236	143	461
237	143	459
238	143	457
239	144	457
240	145	457
241	145	456
242	146	455
243	146	454
244	146	452
245	147	451
246	147	450
247	148	450
248	148	448
249	149	448
250	149	446
251	149	445
252	150	443
253	150	443
254	151	442
255	151	440
256	152	440
257	152	439
258	153	439
259	154	438
260	154	437
261	155	437
262	155	436
263	156	436
264	157	435
265	157	435
266	158	434
267	158	434
268	159	433
269	160	433
270	160	432
271	161	431
272	161	430
273	162	430
274	163	429
275	163	429
276	164	428
277	164	427
278	165	426
279	165	426
280	166	425
281	166	424
282	167	423
283	167	422
284	168	421
285	168	421
286	169	420
287	169	419
288	170	419
289	171	418
290	171	418
291	172	417
292	172	416
293	173	416
294	173	415
295	174	414
296	174	413
297	175	412
298	175	412
299	176	411
300	176	410
301	177	409
302	177	408
