iter	Passed	Remaining
0	0	60
1	1	58
2	1	55
3	2	50
4	2	50
5	3	49
6	3	48
7	4	47
8	4	48
9	5	47
10	6	50
11	7	52
12	8	60
13	9	58
14	10	57
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	13	49
22	14	48
23	15	47
24	15	46
25	16	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	35
40	24	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
